Order_date,day_1,Month_name,Day,Amount,Amount 2
3/31/2022,31,March,Thursday,567,
3/31/2022,31,March,Thursday,599,
3/31/2022,31,March,Thursday,490,
3/31/2022,31,March,Thursday,0,
3/31/2022,31,March,Thursday,791,
4/1/2022,1,April,Friday,563,
4/1/2022,1,April,Friday,527,
4/1/2022,1,April,Friday,417,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,676,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,546,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,1099,
4/1/2022,1,April,Friday,364,
4/1/2022,1,April,Friday,542,
4/1/2022,1,April,Friday,364,
4/1/2022,1,April,Friday,647,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,799,
4/1/2022,1,April,Friday,426,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,798,
4/1/2022,1,April,Friday,311,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,1354,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,845,
4/1/2022,1,April,Friday,750,
4/1/2022,1,April,Friday,480,
4/1/2022,1,April,Friday,817,
4/1/2022,1,April,Friday,426,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,549,
4/1/2022,1,April,Friday,758,
4/1/2022,1,April,Friday,699,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,563,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,912,
4/1/2022,1,April,Friday,421,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,1201,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,329,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,657,
4/1/2022,1,April,Friday,1129,
4/1/2022,1,April,Friday,460,
4/1/2022,1,April,Friday,563,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,825,
4/1/2022,1,April,Friday,758,
4/1/2022,1,April,Friday,259,
4/1/2022,1,April,Friday,561,
4/1/2022,1,April,Friday,427,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,798,
4/1/2022,1,April,Friday,984,
4/1/2022,1,April,Friday,646,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,672,
4/1/2022,1,April,Friday,460,
4/1/2022,1,April,Friday,616,
4/1/2022,1,April,Friday,1542,
4/1/2022,1,April,Friday,1299,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,358,
4/1/2022,1,April,Friday,354,
4/1/2022,1,April,Friday,898,
4/1/2022,1,April,Friday,750,
4/1/2022,1,April,Friday,730,
4/1/2022,1,April,Friday,1229,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,955,
4/1/2022,1,April,Friday,898,
4/1/2022,1,April,Friday,1249,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,377,
4/1/2022,1,April,Friday,699,
4/1/2022,1,April,Friday,1576,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,958,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,542,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,699,
4/1/2022,1,April,Friday,563,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,1079,
4/1/2022,1,April,Friday,427,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,423,
4/1/2022,1,April,Friday,898,
4/1/2022,1,April,Friday,528,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,927,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,1229,
4/1/2022,1,April,Friday,750,
4/1/2022,1,April,Friday,364,
4/1/2022,1,April,Friday,537,
4/1/2022,1,April,Friday,352,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1138,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,353,
4/1/2022,1,April,Friday,315,
4/1/2022,1,April,Friday,358,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,825,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,569,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,845,
4/1/2022,1,April,Friday,427,
4/1/2022,1,April,Friday,349,
4/1/2022,1,April,Friday,1125,
4/1/2022,1,April,Friday,646,
4/1/2022,1,April,Friday,791,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,365,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,836,
4/1/2022,1,April,Friday,450,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,730,
4/1/2022,1,April,Friday,699,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,417,
4/1/2022,1,April,Friday,443,
4/1/2022,1,April,Friday,956,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,941,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,421,
4/1/2022,1,April,Friday,625,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,1033,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,394,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,775,
4/1/2022,1,April,Friday,567,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,877,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1053,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,1129,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,688,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,849,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,530,
4/1/2022,1,April,Friday,1245,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,423,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,0,
